一円	いちえん
一往	いちおう
一隅	いちぐう
一芸	いちげい
一言	いちげん
一期	いちご
一言	いちごん
一座	いちざ
一事	いちじ
一時	いちじ
一次	いちじ
一日	いちじつ
一巡	いちじゅん
一定	いちじょう
一族	いちぞく
一存	いちぞん
一代	いちだい
一団	いちだん
一同	いちどう
一読	いちどく
一二	いちに
一日	いちにち
一任	いちにん
一念	いちねん
一番	いちばん
一部	いちぶ
一別	いちべつ
一瞥	いちべつ
一望	いちぼう
一抹	いちまつ
一味	いちみ
一命	いちめい
一面	いちめん
一目	いちもく
一躍	いちやく
一様	いちよう
一覧	いちらん
一利	いちり
一理	いちり
一律	いちりつ
一流	いちりゅう
一塁	いちるい
一連	いちれん
一路	いちろ
一家	いっか
一角	いっかく
一喝	いっかつ
一括	いっかつ
一貫	いっかん
一揆	いっき
一家	いっけ
一計	いっけい
一件	いっけん
一見	いっけん
一己	いっこ
一向	いっこう
一考	いっこう
一行	いっこう
一刻	いっこく
一佐	いっさ
一切	いっさい
一昨	いっさく
一式	いっしき
一色	いっしき
一種	いっしゅ
一周	いっしゅう
一蹴	いっしゅう
一瞬	いっしゅん
一緒	いっしょ
一笑	いっしょう
一生	いっしょう
一心	いっしん
一新	いっしん
一身	いっしん
一睡	いっすい
一世	いっせい
一閃	いっせん
一層	いっそう
一掃	いっそう
一体	いったい
一帯	いったい
一旦	いったん
一端	いったん
一致	いっち
一朝	いっちょう
一手	いって
一定	いってい
一徹	いってつ
一転	いってん
一等	いっとう
一時	いっとき
一に	いつに
一派	いっぱ
一半	いっぱん
一般	いっぱん
一筆	いっぴつ
一服	いっぷく
一変	いっぺん
一片	いっぺん
一方	いっぽう
一日	ついたち
一足	ひとあし
一汗	ひとあせ
一雨	ひとあめ
一癖	ひとくせ
一言	ひとこと
一塩	ひとしお
一手	ひとて
一時	ひととき
一肌	ひとはだ
一日	ひとひ
一筆	ひとふで
一昔	ひとむかし
一目	ひとめ
開平	かいへい
源平	げんぺい
公平	こうへい
水平	すいへい
太平	たいへい
不平	ふへい
扁平	へんぺい

一斉	117
一々	いちいち
一員	いちいん
一円	いちえん
一往	いちおう
一隅	いちぐう
一芸	いちげい
一言	いちげん
一期	いちご
一言	いちごん
一座	いちざ
一事	いちじ
一時	いちじ
一次	いちじ
一日	いちじつ
一巡	いちじゅん
一定	いちじょう
一族	いちぞく
一存	いちぞん
一代	いちだい
一団	いちだん
一同	いちどう
一読	いちどく
一二	いちに
一日	いちにち
一任	いちにん
一念	いちねん
一番	いちばん
一部	いちぶ
一別	いちべつ
一瞥	いちべつ
一望	いちぼう
一抹	いちまつ
一味	いちみ
一命	いちめい
一面	いちめん
一目	いちもく
一躍	いちやく
一様	いちよう
一覧	いちらん
一利	いちり
一理	いちり
一律	いちりつ
一流	いちりゅう
一塁	いちるい
一連	いちれん
一路	いちろ
一家	いっか
一角	いっかく
一喝	いっかつ
一括	いっかつ
一貫	いっかん
一揆	いっき
一家	いっけ
一計	いっけい
一件	いっけん
一見	いっけん
一己	いっこ
一向	いっこう
一考	いっこう
一行	いっこう
一刻	いっこく
一佐	いっさ
一切	いっさい
一昨	いっさく
一式	いっしき
一色	いっしき
一種	いっしゅ
一周	いっしゅう
一蹴	いっしゅう
一瞬	いっしゅん
一緒	いっしょ
一笑	いっしょう
一生	いっしょう
一心	いっしん
一新	いっしん
一身	いっしん
一睡	いっすい
一世	いっせい
一閃	いっせん
一層	いっそう
一掃	いっそう
一体	いったい
一帯	いったい
一旦	いったん
一端	いったん
一致	いっち
一朝	いっちょう
一手	いって
一定	いってい
一徹	いってつ
一転	いってん
一等	いっとう
一時	いっとき
一に	いつに
一派	いっぱ
一半	いっぱん
一般	いっぱん
一筆	いっぴつ
一服	いっぷく
一変	いっぺん
一片	いっぺん
一方	いっぽう
一日	ついたち
一足	ひとあし
一汗	ひとあせ
一雨	ひとあめ
一癖	ひとくせ
一言	ひとこと
一塩	ひとしお
一手	ひとて
一時	ひととき
一肌	ひとはだ
一日	ひとひ
一筆	ひとふで
一昔	ひとむかし
一目	ひとめ
均斉	きんせい

一景	130
一々	いちいち
一員	いちいん
一円	いちえん
一往	いちおう
一隅	いちぐう
一芸	いちげい
一言	いちげん
一期	いちご
一言	いちごん
一座	いちざ
一事	いちじ
一時	いちじ
一次	いちじ
一日	いちじつ
一巡	いちじゅん
一定	いちじょう
一族	いちぞく
一存	いちぞん
一代	いちだい
一団	いちだん
一同	いちどう
一読	いちどく
一二	いちに
一日	いちにち
一任	いちにん
一念	いちねん
一番	いちばん
一部	いちぶ
一別	いちべつ
一瞥	いちべつ
一望	いちぼう
一抹	いちまつ
一味	いちみ
一命	いちめい
一面	いちめん
一目	いちもく
一躍	いちやく
一様	いちよう
一覧	いちらん
一利	いちり
一理	いちり
一律	いちりつ
一流	いちりゅう
一塁	いちるい
一連	いちれん
一路	いちろ
一家	いっか
一角	いっかく
一喝	いっかつ
一括	いっかつ
一貫	いっかん
一揆	いっき
一家	いっけ
一計	いっけい
一件	いっけん
一見	いっけん
一己	いっこ
一向	いっこう
一考	いっこう
一行	いっこう
一刻	いっこく
一佐	いっさ
一切	いっさい
一昨	いっさく
一式	いっしき
一色	いっしき
一種	いっしゅ
一周	いっしゅう
一蹴	いっしゅう
一瞬	いっしゅん
一緒	いっしょ
一笑	いっしょう
一生	いっしょう
一心	いっしん
一新	いっしん
一身	いっしん
一睡	いっすい
一世	いっせい
一閃	いっせん
一層	いっそう
一掃	いっそう
一体	いったい
一帯	いったい
一旦	いったん
一端	いったん
一致	いっち
一朝	いっちょう
一手	いって
一定	いってい
一徹	いってつ
一転	いってん
一等	いっとう
一時	いっとき
一に	いつに
一派	いっぱ
一半	いっぱん
一般	いっぱん
一筆	いっぴつ
一服	いっぷく
一変	いっぺん
一片	いっぺん
一方	いっぽう
一日	ついたち
一足	ひとあし
一汗	ひとあせ
一雨	ひとあめ
一癖	ひとくせ
一言	ひとこと
一塩	ひとしお
一手	ひとて
一時	ひととき
一肌	ひとはだ
一日	ひとひ
一筆	ひとふで
一昔	ひとむかし
一目	ひとめ
遠景	えんけい
近景	きんけい
光景	こうけい
実景	じっけい
情景	じょうけい
叙景	じょけい
絶景	ぜっけい
前景	ぜんけい
全景	ぜんけい
点景	てんけい
背景	はいけい
風景	ふうけい
夜景	やけい
夕景	ゆうけい

一晴	117
一々	いちいち
一員	いちいん
一円	いちえん
一往	いちおう
一隅	いちぐう
一芸	いちげい
一言	いちげん
一期	いちご
一言	いちごん
一座	いちざ
一事	いちじ
一時	いちじ
一次	いちじ
一日	いちじつ
一巡	いちじゅん
一定	いちじょう
一族	いちぞく
一存	いちぞん
一代	いちだい
一団	いちだん
一同	いちどう
一読	いちどく
一二	いちに
一日	いちにち
一任	いちにん
一念	いちねん
一番	いちばん
一部	いちぶ
一別	いちべつ
一瞥	いちべつ
一望	いちぼう
一抹	いちまつ
一味	いちみ
一命	いちめい
一面	いちめん
一目	いちもく
一躍	いちやく
一様	いちよう
一覧	いちらん
一利	いちり
一理	いちり
一律	いちりつ
一流	いちりゅう
一塁	いちるい
一連	いちれん
一路	いちろ
一家	いっか
一角	いっかく
一喝	いっかつ
一括	いっかつ
一貫	いっかん
一揆	いっき
一家	いっけ
一計	いっけい
一件	いっけん
一見	いっけん
一己	いっこ
一向	いっこう
一考	いっこう
一行	いっこう
一刻	いっこく
一佐	いっさ
一切	いっさい
一昨	いっさく
一式	いっしき
一色	いっしき
一種	いっしゅ
一周	いっしゅう
一蹴	いっしゅう
一瞬	いっしゅん
一緒	いっしょ
一笑	いっしょう
一生	いっしょう
一心	いっしん
一新	いっしん
一身	いっしん
一睡	いっすい
一世	いっせい
一閃	いっせん
一層	いっそう
一掃	いっそう
一体	いったい
一帯	いったい
一旦	いったん
一端	いったん
一致	いっち
一朝	いっちょう
一手	いって
一定	いってい
一徹	いってつ
一転	いってん
一等	いっとう
一時	いっとき
一に	いつに
一派	いっぱ
一半	いっぱん
一般	いっぱん
一筆	いっぴつ
一服	いっぷく
一変	いっぺん
一片	いっぺん
一方	いっぽう
一日	ついたち
一足	ひとあし
一汗	ひとあせ
一雨	ひとあめ
一癖	ひとくせ
一言	ひとこと
一塩	ひとしお
一手	ひとて
一時	ひととき
一肌	ひとはだ
一日	ひとひ
一筆	ひとふで
一昔	ひとむかし
一目	ひとめ
快晴	かいせい

一永	117
一々	いちいち
一員	いちいん
一円	いちえん
一往	いちおう
一隅	いちぐう
一芸	いちげい
一言	いちげん
一期	いちご
一言	いちごん
一座	いちざ
一事	いちじ
一時	いちじ
一次	いちじ
一日	いちじつ
一巡	いちじゅん
一定	いちじょう
一族	いちぞく
一存	いちぞん
一代	いちだい
一団	いちだん
一同	いちどう
一読	いちどく
一二	いちに
一日	いちにち
一任	いちにん
一念	いちねん
一番	いちばん
一部	いちぶ
一別	いちべつ
一瞥	いちべつ
一望	いちぼう
一抹	いちまつ
一味	いちみ
一命	いちめい
一面	いちめん
一目	いちもく
一躍	いちやく
一様	いちよう
一覧	いちらん
一利	いちり
一理	いちり
一律	いちりつ
一流	いちりゅう
一塁	いちるい
一連	いちれん
一路	いちろ
一家	いっか
一角	いっかく
一喝	いっかつ
一括	いっかつ
一貫	いっかん
一揆	いっき
一家	いっけ
一計	いっけい
一件	いっけん
一見	いっけん
一己	いっこ
一向	いっこう
一考	いっこう
一行	いっこう
一刻	いっこく
一佐	いっさ
一切	いっさい
一昨	いっさく
一式	いっしき
